Ozone,Wind,Temp,Month,Day
41,7.4,67,5,1
36,8,72,5,2
12,12.6,74,5,3
18,11.5,62,5,4
NA,14.3,56,5,5
28,14.9,66,5,6
23,8.6,65,5,7
19,13.8,59,5,8
8,20.1,61,5,9
NA,8.6,69,5,10
7,6.9,74,5,11
16,9.7,69,5,12
11,9.2,66,5,13
14,10.9,68,5,14
18,13.2,58,5,15
14,11.5,64,5,16
34,12,66,5,17
6,18.4,57,5,18
30,11.5,68,5,19
11,9.7,62,5,20
1,9.7,59,5,21
11,16.6,73,5,22
4,9.7,61,5,23
32,12,61,5,24
NA,16.6,57,5,25
NA,14.9,58,5,26
NA,8,57,5,27
23,12,67,5,28
45,14.9,81,5,29
115,5.7,79,5,30
37,7.4,76,5,31
NA,8.6,78,6,1
NA,9.7,74,6,2
NA,16.1,67,6,3
NA,9.2,84,6,4
NA,8.6,85,6,5
NA,14.3,79,6,6
29,9.7,82,6,7
NA,6.9,87,6,8
71,13.8,90,6,9
39,11.5,87,6,10
NA,10.9,93,6,11
NA,9.2,92,6,12
23,8,82,6,13
NA,13.8,80,6,14
NA,11.5,79,6,15
21,14.9,77,6,16
37,20.7,72,6,17
20,9.2,65,6,18
12,11.5,73,6,19
13,10.3,76,6,20
NA,6.3,77,6,21
NA,1.7,76,6,22
NA,4.6,76,6,23
NA,6.3,76,6,24
NA,8,75,6,25
NA,8,78,6,26
NA,10.3,73,6,27
NA,11.5,80,6,28
NA,14.9,77,6,29
NA,8,83,6,30
135,4.1,84,7,1
49,9.2,85,7,2
32,9.2,81,7,3
NA,10.9,84,7,4
64,4.6,83,7,5
40,10.9,83,7,6
77,5.1,88,7,7
97,6.3,92,7,8
97,5.7,92,7,9
85,7.4,89,7,10
NA,8.6,82,7,11
10,14.3,73,7,12
27,14.9,81,7,13
NA,14.9,91,7,14
7,14.3,80,7,15
48,6.9,81,7,16
35,10.3,82,7,17
61,6.3,84,7,18
79,5.1,87,7,19
63,11.5,85,7,20
16,6.9,74,7,21
NA,9.7,81,7,22
NA,11.5,82,7,23
80,8.6,86,7,24
108,8,85,7,25
20,8.6,82,7,26
52,12,86,7,27
82,7.4,88,7,28
50,7.4,86,7,29
64,7.4,83,7,30
59,9.2,81,7,31